text,class
free  education  health  people  free  irrigation  drinking  water  people,pos
show  word  family\neither  shut  fuck  maatha  ki,neg
ohh  \ni  missed  pawan  garu,neg
im  proud  call  leader  proven  leader  high  ethics  morality  may  next,pos
give  free  education  health  people  infrastructure  people  schools  hospitals  postal  banks,pos
bi  hope  president  sir  requesting  booth  persons  requirement,pos
ki  minchi  aggressive  campaigning  vundaali  esaariall  bestmore  power,neg
congratulations),pos
ok  anna,pos
super  ready  thisjai  jansena,pos
still  time  dont  align  communists\n\nyoull  lose  credibility\n\ntheyll,pos
bitches  gathered,neg
mr  still  dream  haha,pos
ty  anna  bye,pos
best  bro  exams,pos
bkeep  calm  &amp  believe,pos
best,pos
still  time  dont  align  communists\n\nyoull  lose,pos
youth  women  jansainiks  fight,neg
easy  ga  kodthadu\n  sure  shot  daggara,pos
dear  sir  please  announce  kg  pg  free  education  history  ap  free  medical,pos
make  sure  students  pay  fees  apply  government  jobs,pos
strategyone  fan  must  meet  families  day  explain,pos
ok  anna  iam  waiting,pos
super,pos
make  sure  win  constituencies  sir  lets  battle,pos
great  innovative  idea  \nteam  pakka  tollywood,pos
promises  given  jana  sena,pos
criminal  cases  ycp  tdp,neg
days  go  april  \n\nyou  might  care  votes  might  years  choose  wisely  one,pos
april  th  lets  change  younger  generation  wishes  lets  talk  new  age  politics,pos
\nget  ready  boys,pos
updated  true  caller  name  \n\nspread  word  possible  ways,pos
"people  predicting  jsp\s  seats  chief  say\n\n ""at  best  lakhs  collect  chese  hero",pos
keep  flame  burning  lips  forget  highest  voting  higher  chances  fair  minded,pos
bgreat  innovative  idea  \nteam  pakka  tollywood,pos
"bto  people  predicting  jsp\s  seats  chief  say\n\n ""at  best  lakhs  collect  chese",pos
bthis  promises  given  jana  sena,pos
btwaraga  oka  clarity  vasthe  inka  gattiga  cheyochu  march  th  kosam  waiting,pos
choose  wisely,pos
bchoose  wisely,pos
kgs  free  rice  years  future\n\nrevolution,pos
great  innovative  idea  \nteam  pakka  tollywood,pos
kgs  free  rice  years  future\n\nrevolution,pos
bgreat  innovative  idea  \nteam  pakka  tollywood,pos
kgs  free  rice  years  future\n\nrevolution,pos
year  old  janasainik  \nno  worries,neg
every  worker  working  hard  day  night  lets,neg
bmy  dear  janasainiks  request  concentrate  make  public  aware  symbol,pos
kgs  free  rice  years  future\n\nrevolution,pos
vote  glass  good  luck  sir  fav  political  leader,pos
\nis  trending  nd  rd  place  respectively,pos
person  sacrifice  luxurious  life  peopleshe  hope  \nthink,pos
good  night,pos
time  change\nnot  dp  profile  pics  \nbut  also  thinking  supremacy  us\nlets  change,pos
target  votes  per  fan  \nfriends\nfamily  members\nneighbors\nevarnina  sare  influence  chesi  vote  eyinchandi\nide  mana  target,pos
thank,pos
\nis  trending  nd  rd  place  respectively,pos
like  previous  elections  options  choose\nyou  got  choice  choose,pos
one  state  youth  anxious  elections  ap,neg
thank  much  garu,pos
dear  let  us  bring  caller  tunes  asap,pos
"b ""not  kgs  free  rice  years  future\n\nrevolution",neg
many  seats  would\nyou  think  wins  ap  assembly  elections,pos
updated  true  caller  name  \n\nspread  word  possible  ways,pos
bhow  many  seats  would\nyou  think  wins  ap  assembly  elections,pos
fans  ready  vote  iam  ready  \nplease  vote,pos
bi  updated  true  caller  name  \n\nspread  word  possible  ways,pos
bnot  kgs  free  rice  years  future\n\nrevolution  begun,pos
bsee  transparency  accountability  glass  forget  negativity  fight  change,neg
ippativaraku  official  ga  \nmp  candidates  matrame  announce  chesindhi\nevaru  kuda  fake  list  spread,neg
ippativaraku  official  ga  \nmp  candidates  matrame  announce  chesindhi\nevaru  kuda  fake  list  spread,neg
bkeep  calm  &amp  believe,pos
best  dear,pos
pls  register  ur  votes\nlast  chance  days,pos
fight  begins,neg
fight  anyone  outside  within  \nyour  first  victory  decide  fight,neg
"b ""those  eyes  going  shutter  everything  \njsp  better",pos
much  awaited  tweet  chief,neg
one  state  youth  anxious  elections  ap,neg
inspirational  speech  recent  times  super  sister,pos
bmost  inspirational  speech  recent  times  super  sister,pos
"b ""pks  friend  joins  heres  lo  ee  godavalu",pos
ur  better  future,pos
better  society,pos
humble  opinion  \n\nif  jana  sainiks  work  hard  booth  level,neg
bthe  love  stood  test  time,pos
save  date,pos
great  idea,pos
ee  shot  tho  ayina  movie  industry  hit  ayindi  ee  symbol  tho  vastunna  ni  kuda  success  cheseddam,pos
best  anna,pos
best  sir,pos
get  ready  folks\n\nin  chief  coming  facebook  live\n\nlink,pos
get  ready  folks\n\nin  chief  coming  facebook  live\n\nlink,pos
damn  confident  recent  facebook  livenow  duty  increase  count  jsp,pos
bget  ready  folks\n\nin  chief  coming  facebook  live\n\nlink,pos
get  ready,pos
bget  ready  folks\n\nin  chief  coming  facebook  live\n\nlink,pos
yeah  lets  change  wished  see,pos
winning  show  strength\n\nchange  inevitable  may  get,pos
april  th  ready  vote  janasena  guys,pos
work  hard  believe  unexpected,neg
seen  enough  hell  years  lets  vote  wise  leader,neg
get  ready,pos
best  anna,pos
best  sir  best  wishes  babu  fans,pos
bless  votes\nhell  take  care  remaining,pos
ball  best,pos
best  garu  best  wishes  babu  fans,pos
winning  show  strength\n\nchange  inevitable  may  get  delayed,pos
bi  updated  true  caller  name  \n\nspread  word  possible  ways,pos
better  society,pos
ki  minchi  aggressive  campaigning  vundaali  esaariall  bestmore  power,neg
keep  calm  believe,pos
best,pos
better  society,pos
band  much  awaited  tweet  chief,neg
updated  true  caller  name  \n\nspread  word  possible  ways,pos
best  anna,pos
super,pos
updated  true  caller  name  \n\nspread  word  possible  ways,pos
stopped  dci  privitisationwith  agitationin  vizag\n\nstopped  taking,neg
days  go  april  \n\nyou  might  care  votes  might  years  choose  wisely,pos
best,pos
bupdates  true  calar\nkudirinanthameraku  publicity  icheyyandi  glass  and\ncandidates  names  \nbetter  becoz  sari  evm,pos
discussing  familyfriends  relations  convince  vote,pos
bi  updated  true  caller  name  \n\nspread  word  possible  ways,pos
nice  madhavi  garu  working  even  though,pos
janasena  ideology  congress  hatao  pawan  said  many  times  hates  congress,neg
better,pos
days  go  election  janasainiks  requested  work  hard  towards  spreading  ideology,neg
better,pos
janasena  ideology  congress  hatao  pawan  said  many  times  hates  congress,neg
feeling  exited  first  time  election  notification  th  one  month  go,pos
"b ""its  like  previous  elections  options  choose\nyou  got  choice",pos
bthese  issues  problems  raised  shri  garu,neg
even  people  like  active  facebook  bro\nwe  bring  janasena,pos
\nglass  boys  rocksss\nnag  me\ntowel  boy  (  ycp  fan  ),pos
best  anna  janasena  better  society  april  th,pos
say  rowdyism  \nsay  slavery  \n\nbring  revolution\nfuture  years\n\ncaste  vote,neg
bhe  better  two,pos
april  th  win  lose  lets  best  beloved  thamudu,pos
bpls  register  ur  votes\nlast  chance  days,pos
bmy  year  old  janasainik  \nno  worries,neg
im  hyd  make  sure  votes  jsp  relatives  ap  voted  tdp  till  last  tym,pos
"b ""april  th  win  lose  lets  best  beloved  thamudu",pos
\n\nyouth  anythingjust  discussing  friends,pos
make  better  society  hands\nplease,pos
sir  please  declare  candidate  names  soon,pos
vote  janasena  ap  assembly  elections  lokasabha  elections  change  years  great,pos
bexactlyyesterday  discussion  homenenu  ide  cheppa  gelusthaada  leda  kaadu  vote  share  gives,pos
change  ur  profiles  dps  \nfor  better,pos
one  senior  political  observer  told  thatboth  &amp  ycp  joined  hands  damage  reputation  jsp  constantly,neg
\n\nneed  editors  &amp  ready\nto  work  social  media  platforms  \nactively  kindly  share,pos
fact  matter  hit  target  maj  gen  (retd)  gd  bakshi  defence,pos
bending  ur  head  make  weaker  makes  retrospect  whether  ur  feet  firmly,neg
amazingly  talented  costume  designer  niece,pos
one  doctor  spoke  shri  garu  encouraged  common  man  like  garu,pos
check  karate  glass  tumbler  personalised  engraved  present  gift,pos
baloch  republic  army  fighters  attack  pakistan  army  raises  slogans  azad  balochistan\n\nfew  days  ago,neg
bfor  better  society  vote  turn,pos
back  audio  saparet  fan  bass  hero,pos
bliked  straight  forwardness  interview  please  watch  know,pos
ready,pos
wait  witness  rage,neg
bsuch  quick  slap  said  jsp,pos
wait  witness  rage,neg
get  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
bthe  people  trusting  jagan  garu  son  late  sri  ysr  garu  really  want  show  ur  respect,pos
never  ends  love,neg
get  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay,pos
bone  month  hard  work  gives  years  bright  future,pos
get  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
friends  share  everyone,pos
bchange  inevitable  expect  unexpected  make  way  power  star  trust,pos
true  leader,pos
people  andhraaayana  sabhalaki  miru  chuinche  abhimanam  prema  vote  la  roopam  lo  chuinchandilets  hope  drastic,pos
bthe  true  leader,pos
bpeople  andhraaayana  sabhalaki  miru  chuinche  abhimanam  prema  vote  la  roopam  lo  chuinchandilets  hope,pos
need  corruption  vote  fan  need  unemployment  vote  cycle  need  transparency  future  vote  glass,neg
bforwarding  scr  shot  sent  friend,pos
request  janasena  followers\nno  thigh  slaps\nno  seats  prediction  \ndont  react  fake  surveys\n\nground  level  lo  evadu,neg
brequest  janasena  followers\nno  thigh  slaps\nno  seats  prediction  \ndont  react  fake  surveys\n\nground  level  lo,neg
vote  janasena  better  society,pos
bneed  corruption  vote  fan  need  unemployment  vote  cycle  need  transparency  future  vote  glass,neg
fans  ready  vote  iam  ready  \nplease  vote,pos
"b ""ap  people  mi  right  choice  miku  daggarlone  undi  dont  neglect  timemanchi  manishi  janam  kosam",pos
get  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
pls  everyone  check  ur  vote  thereapply  againevery  vote  counts,pos
wiped  political  superstitions  never  playing  caste  card  votes  sympathy,pos
bsame  leave  pettesa,neg
baita  cheyalsindi  chestam\nbut  dont  underestimate  power  social,pos
trending  top,pos
trending  top,pos
im  sure  pk  return  favour  ap  people  soon  hell  change  fate,neg
"b ""im  sure  pk  return  favour  ap  people  soon  hell  change  fate",neg
"b ""baita  cheyalsindi  chestam\nbut  dont  underestimate  power  social",pos
bget  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
bget  ready  sainiks  exactly  one  month,pos
bget  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
bget  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
get  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day,pos
bare  ready,pos
bget  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
bbe  prepared  two  massive  trends  march  &amp  march  occasion  janasena  formation  day\nstay  tuned,pos
bget  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
get  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
bapril  th  lose  results  war  war  gonna  tough  \na  war  less  hope,neg
bget  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
bget  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
bget  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
bget  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
bget  ready  massive  trends  march  &amp  march  occasion  janasena  formation  day  stay  tuned,pos
like,pos
easy,pos
super  soo  cute  haa,pos
warning  sensitive  content\n\nlicking  hot  metal  lie  detector  test\n\nthis  egyptian  practice  still,neg
fake  id,neg
btdp  mlas  declared  criminal  cases\nycp  mlas  declared  criminal  cases\nout  mlas  members,neg
make  india  exciting  know  brink  becoming  biggest  youtube,pos
actual  ga  cs  exams  june  lone  ca  exam  postponement  valla  clash  vacchindi,neg
pls  provide  intermediate  group  counter  video,pos
pls  provide  intermediate  group  counter  video,pos
might  strongly  convicted  vote  jsp\nbut  ur  parents  village  wud  compulsions  vote,pos
many  difficult  choose  one,neg
th  marriage  ready  avtada  pawan  votestey  asking,pos
fake  id  adi,neg
dabang  kuda  avg  ye  remake  chesthe  original  kanna  best  output  vachindhi\ngang,pos
good  majority,pos
yeah  ok,pos
small  info  dmr  sekhar  ongc  asset  manager  amalapuram  mp  jsp  candidate,pos
yeah,pos
wc  sachin  tendulkar  played  tissues  underwear  (due  bad  stomach),neg
tight  fight  untadi  ycp  vs  jspchuddam,neg
winning  chances  bro,pos
fake  brooo,neg
ysrcp  kakinada  samara  sankharavam  (  election  kickoff  meeting  )  disappointing  attendance  terms  crowd  \n\nin,neg
guys  please  install  cvigil  app  find  violation  code  conduct  register  complaint  ec,neg
tdp  ycp  goons  looking  candidate  list  saying  good  candidates  doctor  lu  retired,pos
best  pspk  sir,pos
wow  package  star  garuda  operation  destroying  ap  real  masks  removing  one  one,pos
hearing  pawan  kalyan  makes  happy  bright  youngster  embodies  telugu  spirit  &amp  committed,pos
good  expose  clients  details  public  platformpls  careful  better  hide,pos
never  really  checked  mrps  items  boughtbut  today  realised  paid  product  fake,neg
\nlets  take  pledge  well  vote  general  elections  considering  parameters,pos
nr  opines  boosting  morale  jagan  anna,pos
voice  magic\nin  love  second  lyrical,pos
\nlets  take  pledge  well  vote  general  elections  considering,pos
congratulations  sir,pos
cant  cheat  us  halol,pos
ok  ok,pos
dear  visakha  district  voters  lakh  voters  cut  since  last  election  kindly  ensure  remind,pos
back  special  message  you\n\npresenting  offer  first  home  game,pos
injury  update  kane  williamson  return  field  today  rests  left  shoulder  ahead,neg
super,pos
"last  time  election  ki   ""keep  calm  ban  fan ""  campaign  run  chesaam  ee  saari  evadi  meedha  pedda  hope  ledu",pos
pants  mistakes,neg
people  come  life  right  time  intense  reasons  leave  life,pos
super,pos
yes  oka  bottle  vaadi  choodu  notice  difference,pos
nenu  good  ye,pos
seriously,neg
super,pos
best,pos
ball  best  anna,pos
ball  best,pos
please  continue,pos
want  people  prepare  stories  election  dates  come  nearer,pos
stories  stop  expect  independentmay,neg
cover  pic  good  job,pos
good  luck  anna,pos
stupid,neg
pic  send  posted  \ni  pspk  fan  \nand  fan  yash  also,pos
()\ncan  bring  great  changes  life  indians,pos
disappoint,neg
saw  news  regarding  prepared  based  sources  stand,pos
suppose  pawan  craze  motham  votes  ga  ayyi  gelichesthe  mee  paristithi  entantaru,neg
orey  creativity  thagaleyya,pos
powan  optimistic  politician  ali  bandla  ganesh  jsp  lot,pos
looking  forward  future\nfeeling  grateful  past,pos
worst  fanbase  ever  cricket,neg
cannot  defend  honour  mother  better  die,neg
meeting  legal  team  tomorrow  get  clarity  chittoor  meeting  dates,pos
thota  garu  received  ambani  family  great  respect,pos
initially  thought  organisation  solve  peoples  problems  travelling  meeting,neg
use  sharing  type  newsdistract  avvutharu  janasainiks  try  avoid,pos
pawan  kalyan  jana  sena  chief  playing  national  anthem  (in  cinema  theatres)  showcase  patriotism  cinema,pos
pawan  kalyan  jana  sena  chief  cinema  theatre  test  patriotism  war  going  border  test,neg
winning  chances  high  bro  good  name  undhi  ayanaku,pos
mega  fans  ante  manamandharamthis  time  win,pos
leader  trusted  farmers  elections,pos
"better  take  janasena  vision  people  instead  useless  information """,pos
feel  angry,neg
superb  composing  hats  music  director  lyricist,pos
pakka  winning  seat,pos
better  fight  dm  giving  chance,pos
bhayya\nfrustration  undochu\nbut  like  this\ncan,pos
leave  bro\nour  focus  clear\nbringing,neg
stay  tuned  jokes,pos
bour  biggest  fans  week  thank  via,pos
bour  biggest  fans  week  thank  via,pos
bour  biggest  fans  week  thank  via,pos
bour  biggest  fans  week  thank  via,pos
bour  biggest  fans  week  thank  via,pos
cute  lessen  wants  tell,pos
hai  rowdy  good  morning,pos
west  godavari  lo  jsp  strong  constituencies  enni,pos
bour  biggest  fans  week  thank  via,pos
oh  okay,pos
bbolisetty  srinu  municipal  chairman  tadepallegudem  might  mla  candidate  janasena  winning  chances  high,pos
bour  biggest  fans  week  thank  via,pos
bdr  babji  ycp  palakol  constituency  \n\nif  yes  max  chances  winning  last  time  got  votes  independent,pos
good  morning,pos
urban  poor  ki  chaalaa  manchi  scheme  bayata  meals  thinali  ante  minimum  avthundhi  even  though  rather,neg
great  decision,pos
love  forever,pos
three  terrorists  killed  tral  two  local  one  pakistani  amongst  killed  sajjad  whose  car  used,neg
naa  character  gurinchi  neeku  em  telso  cheppi  prove  chey  tarvaatha  character  assassination,neg
ready  anna,pos
way  looks  makes  love  pic  caption,pos
ohio  hard  core  fans  association  head  ee  cheppali,neg
hmmm  troll  ki  harassment  ki  theres  fine  line  beginning  look  like,neg
ready  vote  glass  tumbler  family  coming  coming  coming,pos
ready  vote  glass  tumbler  family  coming  coming  coming,pos
dad  sad  cause  one  coming  new  donut  shop,neg
"im  good  hw  abu """,pos
cute  bro,pos
bro  love  pk  please  silent  month  dont  draw  conclusions  hide  ur,pos
really  wonderful  interaction  leaders  janasainiks  energy,pos
urban  areas  lo  good  scheme  contract  ki  beneficial,pos
urban  poor  ki  chaalaa  manchi  scheme  bayata  meals  thinali  ante  minimum  avthundhi  even  though,neg
searching  happiness  others  accomplishmentsrare  quality  princess,pos
even  win  one  seat,pos
guys  please  install  cvigil  app  find  violation  code  conduct  register  complaint  ec  ur  mobile,neg
bso  cute  lessen  wants  tell,pos
nitya  super,pos
rishabh  pant  misses  stumping\n\nand  crowd  chants  dhoni  dhoni,neg
hello  doctor  miss  aayejust  song  pedardalu,neg
yeah  guntur  kuda  chala  strong  undi  deciding  factor,pos
best  wishes  hope  people  bring  change,pos
entha  isthe  antha  btw  th  ye  sir  rlz  theater  lo  encourage  cheyandi  piracy  lu  chudakundaaaa,pos
pants  missed  really  worried  wont  keep  wc  waste  time  lose  shitz,neg
well  come  back  sir,pos
thanq  muchand  time  leave,neg
na  friend  anta,pos
"pant  two  stumps  miss  cheysadu  ika  appude  game  over """,neg
"soon  get  bf  dont  worry """,pos
fired  avida  na  character  annaka  nenu  avida,neg
thank,pos
dear  sir  applied  son  appana  status  showing  data  entry  modi  need,pos
po,neg
indulo  extra  emundi  nitho  disco  waste  purely  cheap  mind,neg
know  well  nothing  drop  ocean  drop,pos
stumping  miss,neg
bguys  please  install  cvigil  app  find  violation  code  conduct  register  complaint,neg
relieving  voice  one  shirley  yesterday,pos
try  level  best  pk,pos
share,pos
applied  leave  march  till  april  campaign  tenali  guntur  west  repalle  janasainiks  get,neg
bguys  please  install  cvigil  app  find  violation  code  conduct  register  complaint  ec  ur,neg
thank,pos
thank,pos
ur  better  future  ani  rayalemo,pos
"last  overs  lo  pressure  pedutunam  \nmanade  match """,neg
applied  leave  request  days(marchapril)be  ready  guys  eka,pos
go  public  without  fulfilling  election  promise  kadha  edhola  sardhestaru  aa  dwakra  ki  sardhinattu,neg
wicked  padindi,neg
target  youth\nap  youthme  area  voter  list  theeskoni  ready  ga  undandi\nnrissm  lo  active  ga,pos
target  youth\nap  youthme  area  voter  list  theeskoni  ready  ga  undandi\nnrissm  lo  active  ga,pos
thank,pos
go  issued  three  hours  back  ani  chusa  march  end  april  st  week  lo  credit  avthai  ani,pos
kgs  free  rice  years  future\n\nrevolution,pos
bso  clear  majority  seats\n\nif  kalyan  manages  win  seats  (  kam  se  kam  )  king  maker,pos
jus  offline  lo  neutral  friends  family  members  target  votes  per  head,pos
general  elections  phase  wise  schedule,pos
joke  day,pos
"already  mentioned  lot  times  play  game  dont  worry  duty  enough  him """,pos
please  retweet  &amp  spread  awareness,pos
\nget  ready  battle,neg
weird  person  ani  \nand  negative  ga  cheppindhi  chalaney,neg
miss  thursday,neg
anna  days  undi\nall  best  \nyuddhaniki  siddham,pos
kinda  guy  celebrates  days  annaanyways  thanx,pos
bah  exam  date  edo  postpone  cheste  guntur  west  lo  tirugutaam  guru,neg
biggest  fans  week  thank  via,pos
relationship  lo  akramam  sakramam  enty  true  love,pos
first  thing  twitter  bore  kottesindi,neg
cr  new  voters  \npurely  youth  dominated  nominated  \n\ncandidate  image  shown  evm  good,pos
sir  please  check  tweet,pos
shot  seperate  fan  base,pos
evms  respective  contestant  photo  besides  polling  symbol  definitely  great  move,pos
days  go  election  janasainiks  requested  work  hard  towards  spreading  ideology,neg
ready,pos
bsenaare  ready  \n\nnominations  march  \nnominations  till  march  \nelection  april  \nresult  may,pos
jagan  kcr\nkcr  jagan\nap  people  fools,neg
nominations  march  \nnominations  till  march  \nelection  april  \nresult  may  \n\nget  ready,pos
fight  future  date  april  th,neg
&amp  cinema\n  testing  luck  polls  first  time  voters,pos
enna  ready  aa,pos
lucky  fellows  thursday,pos
lol  missed,pos
aye  unty  jagan  anna  govidda  miss,neg
miss  thursday,neg
one  bloody  month  left  decider  sainiks  ready  relentless  work  one  month  lets  show  rage,neg
babu  ready  phase  th  april\nnd  phase  th  april  \nrd  phase,pos
better  fight  dm  giving  chance,pos
best  wishes  election  commission  officials  security  personnel  field  across,pos
thank  nithya,pos
happy  favorite  pspk  honest  &amp  sincere  politician  ive  ever  witnessed  babai,pos
wishing  political  candidates  best  lok  sabha  elections  \n\nwe  may  belong,pos
keep  calm  believe,pos
faces  candidates  evms  great  move,pos
ready,pos
hyderabad  night  time  awesome  view  orr  near  osman  sagar  roadmanchrevula,pos
good  simultaneous  polls  andhra  telangana  votes  hyderabad  andhra  vote,pos
shock  icharu  asalu  crct  ga  month  th  na  candidates  ni  announce  cheyali,neg
looking  janasena  follower  block  cheyalsina  avasaram  ledu  \nas  co  fan  cheptuna  right  every,neg
yes  janasena  follower  adi  nuvvu  anukunna  anukokapoinabut  selfrespect  ani  okati,pos
oscar  winning  acting,pos
candidates  criminal  antecedents  declare  cases  occasions  newspapers  cec\n\narey  mee,neg
keybord  lovely,pos
super,pos
fake  account  tho  nuvvu  em  peekithunav,neg
|  android  app  citizens  record  poll  violations  directly  commission,neg
nakenduku  happy,pos
scene  makes  emotional  even  many  want  sequel  happy  days  retweet  nd  share  till,pos
good  reply  sister  keep  ur  head  high  vijayawada  stamina  chupincharu,pos
friend  whats  face\nme  face\nfriend  face\nme  im,pos
hater,neg
bdialgoue  favorite  dialgoue,pos
bbro  please  stop,pos
looking  janasena  follower  block  cheyalsina  avasaram  ledu  \nas  co  fan  cheptuna  right,neg
block,neg
hey  please  stop  tl\nchinna  chinna  issues  ni  peddavi,pos
trueits  time  stop,neg
thats  wat  brorohit  classic  player  play  treat  watchbut  ee,pos
better  stay  sweet\nn  think  use  work,pos
maa  caste  sincerely  requested,pos
kalyan  definitely  force  reckoned,pos
